feature,importance
ndvi_recent_2014_2024_mean,0.16383174607476136
dem,0.11430962600499375
ndvi_recent_2014_2024_max,0.09135292330472934
ndvi_recent_2014_2024_min,0.06504042697442501
ndvi_time_mean,0.06063991517571217
ndvi_long_1981_2014_mean,0.05778017670850242
ndvi_time_max,0.05365389113648288
era5_t2m_mean_gs_2000_2024,0.03600150339273754
2013_ndvi_point,0.03428506119666889
ndvi_time_min,0.032138340268195974
era5_t2m_mean_gs_2012_2014,0.031502042274133626
ndvi_long_1981_2014_min,0.02687097129786705
2014_ndvi_point,0.02626692788773375
2012_ndvi_point,0.022593226198905882
era5_vpd_mean_gs_2000_2024,0.021346473161290753
era5_vpd_mean_gs_2012_2014,0.01801500363904663
era5_evap_sum_gs_2000_2024,0.014875881873760308
era5_tp_sum_gs_2000_2024,0.014489629862846763
era5_ssr_mean_gs_2012_2014,0.014335687754723832
ndvi_recent_2014_2024_std,0.011649955874012215
era5_swvl1_mean_gs_2012_2014,0.009984310060143485
era5_ssr_mean_gs_2000_2024,0.009836922343809361
era5_swvl1_mean_gs_2000_2024,0.009437250576125005
ndvi_recent_2014_2024_range,0.00860252728257697
era5_evap_sum_gs_2012_2014,0.006215511524567507
era5_swvl2_mean_gs_2000_2024,0.005141581033336072
ndvi_recent_2014_2024_trend,0.004534907433967192
confidence,0.004531187693951648
era5_tp_sum_gs_2012_2014,0.004359892518160967
soil_bdod_0_5cm,0.004292845017031477
twi_proxy,0.0039347111546472625
slope,0.00390092576059368
soil_sand_0_5cm,0.002138001135152864
era5_swvl2_mean_gs_2012_2014,0.0017870946172692838
soil_silt_0_5cm,0.0017663858687303005
ndvi_time_range,0.001371576419761675
ndvi_time_std,0.0012028597018369344
ndvi_long_1981_2014_trend,0.0011929037843418015
soil_clay_0_5cm,0.0011410251250221627
ndvi_long_1981_2014_max,0.0010232352410440076
ndvi_long_1981_2014_range,0.000974564140397699
ndvi_long_1981_2014_std,0.0009649682378431691
aspect,0.0006854032681593777
